1	0	0
0.99808	0.00023	0
0.99243	0.00104	0
0.98327	0.00251	0
0.97083	0.00464	0
0.95526	0.00738	0
0.93671	0.01073	0
0.91539	0.0147	0
0.89155	0.01924	0
0.86543	0.02431	0
0.83728	0.02981	0
0.80738	0.03565	0
0.77601	0.04169	0
0.74337	0.0477	0
0.70958	0.05354	0
0.67484	0.0592	0
0.63934	0.06454	0
0.60327	0.06949	0
0.56688	0.07399	0
0.53032	0.07791	0
0.49374	0.08125	0
0.4574	0.08391	0
0.42142	0.08584	0
0.38601	0.08706	0
0.35133	0.08749	0
0.31754	0.08713	0
0.28483	0.08599	0
0.25332	0.08404	0
0.22311	0.08132	0
0.1944	0.07787	0
0.16729	0.0737	0
0.14189	0.06891	0
0.11833	0.06352	0
0.09668	0.0576	0
0.07705	0.05125	0
0.05952	0.04455	0
0.04413	0.03761	0
0.03097	0.03054	0
0.02008	0.02346	0
0.01148	0.01655	0
0.00524	0.00998	0
0.00139	0.00398	0
0.00007	-0.0009	0
0.00214	-0.0049	0
0.00762	-0.0087	0
0.01587	-0.0119	0
0.0272	-0.0144	0
0.04175	-0.0162	0
0.05938	-0.0176	0
0.07995	-0.0187	0
0.10333	-0.0194	0
0.12935	-0.0199	0
0.15784	-0.0201	0
0.18857	-0.0201	0
0.22132	-0.0198	0
0.2559	-0.0193	0
0.29218	-0.0185	0
0.32993	-0.0176	0
0.36889	-0.0166	0
0.40878	-0.0155	0
0.44933	-0.0144	0
0.49021	-0.0134	0
0.53116	-0.0123	0
0.57188	-0.0112	0
0.61212	-0.0102	0
0.6516	-0.0091	0
0.69009	-0.0081	0
0.72734	-0.0072	0
0.76303	-0.0062	0
0.79681	-0.0053	0
0.82841	-0.0045	0
0.85793	-0.0037	0
0.88544	-0.0030	0
0.91063	-0.0024	0
0.93322	-0.0018	0
0.95293	-0.0012	0
0.96949	-0.0008	0
0.98266	-0.0005	0
0.99224	-0.0002	0
0.99805	-0.0001	0
1	0	0
